type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;óvoda;553588;113855;46,362217;17,794631;120;553588113855
3;óvoda;552887;112666;46,35142;17,785773;120;552887112666
3;óvoda;552092;112061;46,345863;17,775574;120;552092112061
3;óvoda;556836;112968;46,354699;17,837009;120;556836112968
3;óvoda;552687;114581;46,368616;17,782772;120;552687114581
3;óvoda;552482;114250;46,365609;17,780178;120;552482114250
3;óvoda;553149;113665;46,360444;17,788967;120;553149113665
3;óvoda;552444;115126;46,373483;17,779499;120;552444115126
3;óvoda;556479;117270;46,393345;17,831501;120;556479117270
3;óvoda;552895;114382;46,366857;17,785516;120;552895114382
3;óvoda;553172;114116;46,364504;17,789171;120;553172114116
3;óvoda;553531;112410;46,349211;17,794191;120;553531112410
3;óvoda;552331;119789;46,415409;17,777045;120;552331119789
3;óvoda;554057;113149;46,355934;17,800871;120;554057113149
3;óvoda;551542;114931;46,371597;17,767819;120;551542114931
3;óvoda;553882;113828;46,362016;17,798456;120;553882113828
3;óvoda;553788;114494;46,367993;17,797096;120;553788114494
3;óvoda;553404;113692;46,360724;17,792274;120;553404113692
3;óvoda;552420;114327;46,366293;17,779356;120;552420114327
3;óvoda;550714;109433;46,322021;17,758239;120;550714109433
3;óvoda;539366;113892;46,360346;17,609852;120;539366113892
3;óvoda;744848;90188;46,149582;20,275154;120;74484890188
3;óvoda;561807;125411;46,467298;17,899209;120;561807125411
3;óvoda;555570;129965;46,507407;17,817084;120;555570129965
3;óvoda;541969;121807;46,431963;17,641818;120;541969121807
3;óvoda;533238;100842;46,241929;17,533528;120;533238100842
3;óvoda;568654;112783;46,354578;17,99057;120;568654112783
3;óvoda;531652;117522;46,391673;17,508709;120;531652117522
3;óvoda;570068;113695;46,362953;18,008782;120;570068113695
3;óvoda;544211;131828;46,522457;17,668682;120;544211131828
3;óvoda;535926;117121;46,38881;17,564365;120;535926117121
3;óvoda;726547;94463;46,19037;20,039;120;72654794463
3;óvoda;723109;95182;46,197221;19,994584;120;72310995182
3;óvoda;730629;113548;46,361563;20,095181;120;730629113548
3;óvoda;731975;113003;46,356497;20,112572;120;731975113003
3;óvoda;731219;113942;46,365036;20,102915;120;731219113942
3;óvoda;731682;113146;46,35782;20,108791;120;731682113146
3;óvoda;555885;105146;46,284208;17,826244;120;555885105146
3;óvoda;557404;126356;46,475202;17,841702;120;557404126356
3;óvoda;536489;129689;46,501947;17,56859;120;536489129689
3;óvoda;552373;132158;46,526672;17,77497;120;552373132158
3;óvoda;547606;128191;46,490274;17,713731;120;547606128191
3;óvoda;538474;119749;46,412878;17,59685;120;538474119749
3;óvoda;569813;130181;46,511216;18,002602;120;569813130181
3;óvoda;727083;111539;46,34391;20,048774;120;727083111539
3;óvoda;734155;100325;46,242188;20,138596;120;734155100325
3;óvoda;735783;103224;46,268058;20,160236;120;735783103224
3;óvoda;735247;102063;46,257683;20,153071;120;735247102063
3;óvoda;736222;103694;46,272229;20,166017;120;736222103694
3;óvoda;735171;102931;46,265501;20,152245;120;735171102931
3;óvoda;734577;100655;46,245103;20,144127;120;734577100655
3;óvoda;732863;103587;46,271691;20,122428;120;732863103587
3;óvoda;734914;101903;46,256286;20,148724;120;734914101903
3;óvoda;734324;100607;46,244703;20,140838;120;734324100607
3;óvoda;732723;100083;46,240189;20,119988;120;732723100083
3;óvoda;734152;100777;46,246254;20,138639;120;734152100777
3;óvoda;737824;102946;46,265293;20,186655;120;737824102946
3;óvoda;737421;102484;46,2612322;20,18141074;120;737421102484
3;óvoda;735734;102872;46,264898;20,159536;120;735734102872
3;óvoda;734205;100430;46,243126;20,139263;120;734205100430
3;óvoda;733869;100021;46,239489;20,134833;120;733869100021
3;óvoda;733856;101589;46,253595;20,134947;120;733856101589
3;óvoda;738537;96157;46,204133;20,194611;120;73853796157
3;óvoda;738321;97516;46,216386;20,192071;120;73832197516
3;óvoda;732030;99622;46,236128;20,110923;120;73203099622
3;óvoda;734309;101096;46,249104;20,140732;120;734309101096
3;óvoda;734788;101169;46,2497;20,146956;120;734788101169
3;óvoda;734402;101977;46,257017;20,142098;120;734402101977
3;óvoda;736797;103201;46,267721;20,173383;120;736797103201
3;óvoda;734371;101721;46,254718;20,141649;120;734371101721
3;óvoda;734931;101267;46,250563;20,148828;120;734931101267
3;óvoda;737304;102683;46,262995;20,179862;120;737304102683
3;óvoda;736208;102633;46,262688;20,165639;120;736208102633
3;óvoda;732380;98802;46,228709;20,115315;120;73238098802
3;óvoda;729897;97414;46,216524;20,082895;120;72989797414
3;óvoda;731945;96162;46,205015;20,109213;120;73194596162
3;óvoda;737945;100621;46,244364;20,187785;120;737945100621
3;óvoda;736961;100597;46,244277;20,175024;120;736961100597
3;óvoda;735544;101054;46,24857;20,156737;120;735544101054
3;óvoda;735535;100519;46,243758;20,156522;120;735535100519
3;óvoda;735772;100393;46,242595;20,159571;120;735772100393
3;óvoda;734349;100113;46,240257;20,141072;120;734349100113
3;óvoda;733599;100853;46,247007;20,131483;120;733599100853
3;óvoda;733530;101247;46,25056;20,130659;120;733530101247
3;óvoda;728016;103964;46,275663;20,059619;120;728016103964
3;óvoda;728954;103643;46,272666;20,071733;120;728954103643
3;óvoda;728333;104474;46,280214;20,063817;120;728333104474
3;óvoda;728595;103977;46,275713;20,067132;120;728595103977
3;óvoda;733676;103204;46,268145;20,132904;120;733676103204
3;óvoda;735237;103463;46,270278;20,153198;120;735237103463
3;óvoda;734898;103164;46,267631;20,148746;120;734898103164
3;óvoda;734238;102632;46,262929;20,14009;120;734238102632
3;óvoda;736025;103848;46,27364;20,16349;120;736025103848
3;óvoda;736081;102903;46,265133;20,164042;120;736081102903
3;óvoda;736528;104584;46,280195;20,170152;120;736528104584
3;óvoda;736217;103157;46,2674;20,165853;120;736217103157
3;óvoda;736497;103234;46,268056;20,169499;120;736497103234
3;óvoda;735769;103401;46,269652;20,160087;120;735769103401
3;óvoda;735209;104057;46,275624;20,152944;120;735209104057
3;óvoda;734443;104130;46,276378;20,143021;120;734443104130
3;óvoda;732765;102900;46,265523;20,121034;120;732765102900
3;óvoda;738319;102438;46,260659;20,192979;120;738319102438
3;óvoda;739025;102272;46,259072;20,202103;120;739025102272
3;óvoda;734504;102345;46,260314;20,143487;120;734504102345
3;óvoda;736765;102809;46,264199;20,172895;120;736765102809
3;óvoda;737879;98993;46,229729;20,186622;120;73787998993
3;óvoda;735455;102240;46,259249;20,155801;120;735455102240
3;óvoda;548945;107904;46,308003;17,735607;120;548945107904
3;óvoda;561317;109092;46,320444;17,895963;120;561317109092
3;óvoda;560548;129541;46,50428;17,882018;120;560548129541
3;óvoda;561885;115273;46,376117;17,902161;120;561885115273
3;óvoda;736143;92774;46,174015;20,162972;120;73614392774
3;óvoda;737758;94483;46,189178;20,184204;120;73775894483
3;szakiskola;744027;107703;46,30724;20,268067;500;744027107703
3;szakiskola;539538;99485;46,230792;17,615518;500;53953899485
3;szakiskola;539586;99541;46,231304;17,616127;500;53958699541
3;szakiskola;539829;99653;46,232351;17,61925;500;53982999653
3;szakiskola;556165;116234;46,383982;17,827629;500;556165116234
3;szakiskola;553991;112825;46,35301;17,80008;500;553991112825
3;szakiskola;551377;112867;46,353007;17,766115;500;551377112867
3;szakiskola;554284;113638;46,360365;17,803718;500;554284113638
3;szakiskola;553534;113985;46,363378;17,793902;500;553534113985
3;szakiskola;552919;113483;46,358774;17,786017;500;552919113483
3;szakiskola;552313;112942;46,353819;17,778258;500;552313112942
3;szakiskola;553560;113055;46,355017;17,794434;500;553560113055
3;szakiskola;553186;113858;46,362186;17,789407;500;553186113858
