subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;vis_type;vis_capacity;vis_minage;vis_maxage
autókereskedés;734653;103119;46,267257;20,145561;24852;24852_172;1;0;4;10;18;65;7;200;22;65
autókereskedés;733048;101912;46,256601;20,124528;24288;24288_173;1;0;4;10;18;65;7;200;22;65
autókereskedés;731714;103026;46,266785;20,107425;89843;89843_174;1;0;4;10;18;65;7;200;22;65
autókereskedés;731908;102531;46,262309;20,109854;24555;24555_175;1;0;4;10;18;65;7;200;22;65
autókereskedés;732684;101609;46,253921;20,119754;137004;137004_176;1;0;4;10;18;65;7;200;22;65
autóklub;733132;102913;46,265595;20,125796;40643;40643_177;1;0;4;5;18;65;7;50;22;65
autóklub;733132;102913;46,265595;20,125796;187843;187843_178;1;0;4;5;18;65;7;50;22;65
autósiskola;733132;102913;46,265595;20,125796;78351;78351_179;1;0;4;20;18;65;8;100;18;28
autósiskola;734440;101827;46,255663;20,142563;78161;78161_180;1;0;4;20;18;65;8;100;18;28
autósiskola;734609;101130;46,249372;20,144628;78165;78165_181;1;0;4;20;18;65;8;100;18;28
autósiskola;734225;101680;46,254367;20,139749;78184;78184_182;1;0;4;20;18;65;8;100;18;28
autósiskola;735990;103049;46,266457;20,162888;78245;78245_183;1;0;4;20;18;65;8;100;18;28
autósiskola;735289;101924;46,256428;20,15359;78322;78322_184;1;0;4;20;18;65;8;100;18;28
autósiskola;734415;100963;46,247894;20,142082;78326;78326_185;1;0;4;20;18;65;8;100;18;28
autósiskola;734645;102416;46,260935;20,145329;78338;78338_186;1;0;4;20;18;65;8;100;18;28
autósiskola;735140;103241;46,268293;20,151899;78375;78375_187;1;0;4;20;18;65;8;100;18;28
autósiskola;734230;100880;46,247171;20,139669;78441;78441_188;1;0;4;20;18;65;8;100;18;28
autósiskola;736299;103142;46,267254;20,166913;78480;78480_189;1;0;4;20;18;65;8;100;18;28
autósiskola;735125;104116;46,276166;20,151865;78481;78481_190;1;0;4;20;18;65;8;100;18;28
autósiskola;734469;101153;46,249596;20,142817;78486;78486_191;1;0;4;20;18;65;8;100;18;28
autósiskola;734927;101476;46,252444;20,148814;78488;78488_192;1;0;4;20;18;65;8;100;18;28
autósiskola;734872;102405;46,260807;20,148271;78502;78502_193;1;0;4;20;18;65;8;100;18;28
autósiskola;734525;102145;46,258512;20,143723;78564;78564_194;1;0;4;20;18;65;8;100;18;28
autósiskola;734324;101855;46,255929;20,141064;114482;114482_195;1;0;4;20;18;65;8;100;18;28
babafelszerelés;733610;102899;46,265409;20,131993;114535;114535_196;1;0;4;10;18;65;7;200;22;45
balett és tánciskola;734913;102968;46,265866;20,148905;34603;34603_197;1;0;4;20;18;65;8;200;6;26
bankautomata;735032;101588;46,253438;20,150196;99583;99583_198;1;1;4;0;18;65;1;200;22;99
bankautomata;734959;102174;46,258718;20,149357;99616;99616_199;1;1;4;0;18;65;1;200;22;99
bankautomata;734780;101477;46,252471;20,146908;54557;54557_200;1;1;4;0;18;65;1;200;22;99
bankautomata;734792;101538;46,253019;20,147075;54556;54556_201;1;1;4;0;18;65;1;200;22;99
bankautomata;735219;103752;46,272879;20,153018;86727;86727_202;1;1;4;0;18;65;1;200;22;99
bankautomata;732707;100465;46,243627;20,119849;86728;86728_203;1;1;4;0;18;65;1;200;22;99
bankautomata;734684;101405;46,251836;20,14565;54560;54560_204;1;1;4;0;18;65;1;200;22;99
bankautomata;735435;101929;46,256454;20,155484;54567;54567_205;1;1;4;0;18;65;1;200;22;99
bankautomata;734807;101873;46,25603;20,147331;54573;54573_206;1;1;4;0;18;65;1;200;22;99
bankautomata;734955;100754;46,245946;20,149045;54585;54585_207;1;1;4;0;18;65;1;200;22;99
bankautomata;736479;100838;46,246507;20,168819;54588;54588_208;1;1;4;0;18;65;1;200;22;99
bankautomata;734927;101476;46,252444;20,148814;55302;55302_209;1;1;4;0;18;65;1;200;22;99
bankautomata;734335;100912;46,247445;20,141036;86805;86805_210;1;1;4;0;18;65;1;200;22;99
bankautomata;734927;101476;46,252444;20,148814;99281;99281_211;1;1;4;0;18;65;1;200;22;99
bankautomata;732707;100465;46,243627;20,119849;99830;99830_212;1;1;4;0;18;65;1;200;22;99
bankautomata;735701;101179;46,249674;20,158796;164020;164020_213;1;1;4;0;18;65;1;200;22;99
bankautomata;734979;101377;46,251547;20,14947;54558;54558_214;1;1;4;0;18;65;1;200;22;99
bankautomata;734919;101754;46,254946;20,148761;54564;54564_215;1;1;4;0;18;65;1;200;22;99
bankautomata;735072;103758;46,272952;20,151112;54576;54576_216;1;1;4;0;18;65;1;200;22;99
bankautomata;734374;102037;46,25756;20,141746;55201;55201_217;1;1;4;0;18;65;1;200;22;99
bankautomata;734119;103231;46,268332;20,138655;55436;55436_218;1;1;4;0;18;65;1;200;22;99
bankautomata;734919;101754;46,254946;20,148761;180601;180601_219;1;1;4;0;18;65;1;200;22;99
bankautomata;736775;99668;46,235944;20,172439;207775;207775_220;1;1;4;0;18;65;1;200;22;99
bankautomata;734711;101359;46,25146073;20,14606099;54561;54561_221;1;1;4;0;18;65;1;200;22;99
bankautomata;734788;101020;46,24836;20,146929;54553;54553_222;1;1;4;0;18;65;1;200;22;99
bankautomata;735004;101788;46,255241;20,14987;54565;54565_223;1;1;4;0;18;65;1;200;22;99
bankautomata;733925;102531;46,26206;20,136012;54569;54569_224;1;1;4;0;18;65;1;200;22;99
bankautomata;736334;103209;46,267852;20,16738;54574;54574_225;1;1;4;0;18;65;1;200;22;99
bankautomata;735643;103074;46,266727;20,158393;54577;54577_226;1;1;4;0;18;65;1;200;22;99
bankautomata;731446;103956;46,275183;20,104112;54578;54578_227;1;1;4;0;18;65;1;200;22;99
bankautomata;733093;102254;46,259672;20,125173;54579;54579_228;1;1;4;0;18;65;1;200;22;99
bankautomata;733154;101622;46,253979;20,125851;54580;54580_229;1;1;4;0;18;65;1;200;22;99
bankautomata;734374;102037;46,25756;20,141746;54582;54582_230;1;1;4;0;18;65;1;200;22;99
bankautomata;735707;100699;46,245356;20,158785;54586;54586_231;1;1;4;0;18;65;1;200;22;99
bankautomata;736479;100838;46,246507;20,168819;54587;54587_232;1;1;4;0;18;65;1;200;22;99
bankautomata;731635;103699;46,272849;20,106519;54589;54589_233;1;1;4;0;18;65;1;200;22;99
bankautomata;730659;104266;46,278067;20,093957;54590;54590_234;1;1;4;0;18;65;1;200;22;99
bankautomata;728300;103931;46,275334;20,063298;54593;54593_235;1;1;4;0;18;65;1;200;22;99
bankautomata;738672;98030;46,220963;20,196717;54594;54594_236;1;1;4;0;18;65;1;200;22;99
