type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
2;vendégház, apartman;562344;103352;46,268949;17,910382;50;2562344103352;18;65;;;;;;;;;;
2;vendégház, apartman;565072;133532;46,540771;17,940214;50;2565072133532;18;65;;;;;;;;;;
2;vendégház, apartman;565187;133697;46,54227;17,941683;50;2565187133697;18;65;;;;;;;;;;
2;vendégház, apartman;553181;113118;46,355529;17,789497;50;2553181113118;18;65;;;;;;;;;;
2;vendégház, apartman;552911;113185;46,356092;17,785975;50;2552911113185;18;65;;;;;;;;;;
2;vendégház, apartman;547645;104782;46,279725;17,719423;50;2547645104782;18;65;;;;;;;;;;
2;vendégház, apartman;728442;110788;46,336997;20,066298;50;2728442110788;18;65;;;;;;;;;;
2;vendégház, apartman;733615;99835;46,237848;20,131507;50;273361599835;18;65;;;;;;;;;;
2;vendégház, apartman;725150;103498;46,271776;20,022374;50;2725150103498;18;65;;;;;;;;;;
2;vendégház, apartman;735735;101494;46,252503;20,159294;50;2735735101494;18;65;;;;;;;;;;
2;vendégház, apartman;732352;96188;46,2052;20,11449;50;273235296188;18;65;;;;;;;;;;
2;vendégház, apartman;737168;101066;46,248468;20,177795;50;2737168101066;18;65;;;;;;;;;;
2;vendégház, apartman;735207;101739;46,254774;20,152493;50;2735207101739;18;65;;;;;;;;;;
2;vendégház, apartman;735796;102152;46,258414;20,160207;50;2735796102152;18;65;;;;;;;;;;
2;vendégház, apartman;733999;100585;46,244546;20,13662;50;2733999100585;18;65;;;;;;;;;;
2;vendégház, apartman;735628;100692;46,245303;20,157759;50;2735628100692;18;65;;;;;;;;;;
2;vendégház, apartman;736661;102171;46,258473;20,171427;50;2736661102171;18;65;;;;;;;;;;
2;vendégház, apartman;734182;99987;46,239144;20,138885;50;273418299987;18;65;;;;;;;;;;
2;vendégház, apartman;734398;100122;46,240331;20,141709;50;2734398100122;18;65;;;;;;;;;;
2;vendégház, apartman;734236;100214;46,241179;20,139626;50;2734236100214;18;65;;;;;;;;;;
2;vendégház, apartman;735095;104019;46,275297;20,151458;50;2735095104019;18;65;;;;;;;;;;
2;vendégház, apartman;736468;101347;46,251087;20,168771;50;2736468101347;18;65;;;;;;;;;;
2;vendégház, apartman;736238;102199;46,25878;20,165947;50;2736238102199;18;65;;;;;;;;;;
2;vendégház, apartman;734025;100992;46,248204;20,137031;50;2734025100992;18;65;;;;;;;;;;
2;vendégház, apartman;735518;102083;46,257829;20,156589;50;2735518102083;18;65;;;;;;;;;;
2;vendégház, apartman;736242;103358;46,269205;20,166214;50;2736242103358;18;65;;;;;;;;;;
2;vendégház, apartman;734430;100685;46,245392;20,142226;50;2734430100685;18;65;;;;;;;;;;
2;vendégház, apartman;728773;98392;46,225454;20,068496;50;272877398392;18;65;;;;;;;;;;
2;vendégház, apartman;735923;101299;46,250725;20,161696;50;2735923101299;18;65;;;;;;;;;;
2;vendégház, apartman;736175;102412;46,260704;20,16517;50;2736175102412;18;65;;;;;;;;;;
2;vendégház, apartman;724672;103513;46,271988;20,016167;50;2724672103513;18;65;;;;;;;;;;
2;vendégház, apartman;736576;102591;46,262262;20,170403;50;2736576102591;18;65;;;;;;;;;;
2;vendégház, apartman;735025;101323;46,251055;20,150057;50;2735025101323;18;65;;;;;;;;;;
2;vendégház, apartman;735942;102916;46,265267;20,162241;50;2735942102916;18;65;;;;;;;;;;
2;vendégház, apartman;732271;99785;46,23754176;20,1140823;50;273227199785;18;65;;;;;;;;;;
2;vendégház, apartman;548653;108144;46,310118;17,731764;50;2548653108144;18;65;;;;;;;;;;
2;vendégház, apartman;548374;107586;46,305057;17,728265;50;2548374107586;18;65;;;;;;;;;;
2;vendégház, apartman;547854;107829;46,307163;17,721463;50;2547854107829;18;65;;;;;;;;;;
2;vendégház, apartman;548514;107947;46,308325;17,730003;50;2548514107947;18;65;;;;;;;;;;
2;vendégház, apartman;548633;108336;46,311842;17,731463;50;2548633108336;18;65;;;;;;;;;;
2;vendégház, apartman;548665;103787;46,27093;17,732872;50;2548665103787;18;65;;;;;;;;;;
3;általános iskola;738789;110175;46,33019;20,200553;500;3738789110175;22;65;;;;;;;;;;
3;általános iskola;744027;107703;46,30724;20,268067;500;3744027107703;22;65;;;;;;;;;;
3;általános iskola;544861;110784;46,333278;17,681947;500;3544861110784;22;65;;;;;;;;;;
3;általános iskola;542845;128800;46,495003;17,651587;500;3542845128800;22;65;;;;;;;;;;
3;általános iskola;534945;107274;46,300075;17,554061;500;3534945107274;22;65;;;;;;;;;;
3;általános iskola;742246;98143;46,221497;20,243053;500;374224698143;22;65;;;;;;;;;;
3;általános iskola;742303;97925;46,219528;20,243749;500;374230397925;22;65;;;;;;;;;;
3;általános iskola;742608;97857;46,218875;20,247688;500;374260897857;22;65;;;;;;;;;;
3;általános iskola;733677;122003;46,437243;20,136312;500;3733677122003;22;65;;;;;;;;;;
3;általános iskola;723645;100463;46,244666;20,002363;500;3723645100463;22;65;;;;;;;;;;
3;általános iskola;570488;121870;46,436538;18,012831;500;3570488121870;22;65;;;;;;;;;;
3;általános iskola;545728;120644;46,422101;17,690981;500;3545728120644;22;65;;;;;;;;;;
3;általános iskola;564921;132798;46,53415;17,938382;500;3564921132798;22;65;;;;;;;;;;
3;általános iskola;564853;133388;46,539448;17,937386;500;3564853133388;22;65;;;;;;;;;;
3;általános iskola;564997;132281;46,529509;17,939468;500;3564997132281;22;65;;;;;;;;;;
3;általános iskola;534868;110903;46,332702;17,55216;500;3534868110903;22;65;;;;;;;;;;
3;általános iskola;549150;118697;46,405114;17,735915;500;3549150118697;22;65;;;;;;;;;;
3;általános iskola;539538;99485;46,230792;17,615518;500;353953899485;22;65;;;;;;;;;;
3;általános iskola;539829;99653;46,232351;17,61925;500;353982999653;22;65;;;;;;;;;;
3;általános iskola;543445;113866;46,360775;17,66285;500;3543445113866;22;65;;;;;;;;;;
3;általános iskola;546594;113801;46,360685;17,703776;500;3546594113801;22;65;;;;;;;;;;
3;általános iskola;553101;113241;46,356623;17,788432;500;3553101113241;22;65;;;;;;;;;;
3;általános iskola;553752;113218;46,356511;17,796894;500;3553752113218;22;65;;;;;;;;;;
3;általános iskola;552454;115269;46,374771;17,779599;500;3552454115269;22;65;;;;;;;;;;
3;általános iskola;551377;112867;46,353007;17,766115;500;3551377112867;22;65;;;;;;;;;;
3;általános iskola;556619;117223;46,392942;17,833331;500;3556619117223;22;65;;;;;;;;;;
3;általános iskola;552509;114418;46,367124;17,780493;500;3552509114418;22;65;;;;;;;;;;
3;általános iskola;552411;119589;46,413622;17,778128;500;3552411119589;22;65;;;;;;;;;;
3;általános iskola;553534;113985;46,363378;17,793902;500;3553534113985;22;65;;;;;;;;;;
3;általános iskola;555374;113179;46,356392;17,817973;500;3555374113179;22;65;;;;;;;;;;
3;általános iskola;552279;114214;46,365256;17,777548;500;3552279114214;22;65;;;;;;;;;;
3;általános iskola;551882;112058;46,345805;17,772847;500;3551882112058;22;65;;;;;;;;;;
3;általános iskola;554024;113919;46,362855;17,800282;500;3554024113919;22;65;;;;;;;;;;
3;általános iskola;552078;114116;46,364345;17,774957;500;3552078114116;22;65;;;;;;;;;;
3;általános iskola;553149;113665;46,360444;17,788967;500;3553149113665;22;65;;;;;;;;;;
3;általános iskola;553100;114711;46,369846;17,788111;500;3553100114711;22;65;;;;;;;;;;
3;általános iskola;554045;113958;46,363209;17,800547;500;3554045113958;22;65;;;;;;;;;;
3;általános iskola;553511;113931;46,362889;17,793614;500;3553511113931;22;65;;;;;;;;;;
3;általános iskola;552985;113993;46,363371;17,786767;500;3552985113993;22;65;;;;;;;;;;
3;általános iskola;553117;113233;46,356554;17,788642;500;3553117113233;22;65;;;;;;;;;;
3;általános iskola;553404;113692;46,360724;17,792274;500;3553404113692;22;65;;;;;;;;;;
3;általános iskola;555374;113179;46,356392;17,817973;500;3555374113179;22;65;;;;;;;;;;
3;általános iskola;744860;90138;46,14913;20,275299;500;374486090138;22;65;;;;;;;;;;
3;általános iskola;555570;129965;46,507407;17,817084;500;3555570129965;22;65;;;;;;;;;;
3;általános iskola;541815;121723;46,431183;17,639834;500;3541815121723;22;65;;;;;;;;;;
3;általános iskola;533204;100844;46,241941;17,533087;500;3533204100844;22;65;;;;;;;;;;
3;általános iskola;568782;112886;46,35552;17,992215;500;3568782112886;22;65;;;;;;;;;;
3;általános iskola;531769;117760;46,393835;17,510169;500;3531769117760;22;65;;;;;;;;;;
3;általános iskola;531891;117566;46,392111;17,511805;500;3531891117566;22;65;;;;;;;;;;
3;általános iskola;569483;113336;46,359653;18,001243;500;3569483113336;22;65;;;;;;;;;;
3;általános iskola;544211;131828;46,522457;17,668682;500;3544211131828;22;65;;;;;;;;;;
