type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;szakközépiskola;731064;101384;46,252095;20,098708;50;44285szakk;44285;22;65;1
4;szakközépiskola;732608;102007;46,25751;20,118839;49;46540szakk;46540;22;65;1
4;szakközépiskola;733012;100254;46,241692;20,123765;13;43336szakk;43336;22;65;1
4;szakközépiskola;733012;100254;46,241692;20,123765;50;213995szakk;213995;22;65;1
4;szakközépiskola;733254;101544;46,253265;20,127133;50;44672szakk;44672;22;65;1
4;szakközépiskola;733290;101543;46,253252;20,1276;142;45845szakk;45845;22;65;1
4;szakközépiskola;733747;101587;46,253591;20,133534;87;45987szakk;45987;22;65;1
4;szakközépiskola;734018;101993;46,257209;20,137121;50;213982szakk;213982;22;65;1
4;szakközépiskola;734108;101251;46,250523;20,138154;50;213986szakk;213986;22;65;1
4;szakközépiskola;734159;101858;46,255977;20,138925;50;44355szakk;44355;22;65;1
4;szakközépiskola;734233;103218;46,268201;20,140131;50;109362szakk;109362;22;65;1
4;szakközépiskola;734372;101338;46,251273;20,141593;50;44363szakk;44363;22;65;1
4;szakközépiskola;734494;101573;46,253371;20,143217;76;41857szakk;41857;22;65;1
4;szakközépiskola;734519;100339;46,242268;20,143317;50;213961szakk;213961;22;65;1
4;szakközépiskola;734589;101197;46,249977;20,144381;50;34777szakk;34777;22;65;1
4;szakközépiskola;734710;102002;46,257203;20,146096;50;46122szakk;46122;22;65;1
4;szakközépiskola;734722;100938;46,247631;20,146058;50;213998szakk;213998;22;65;1
4;szakközépiskola;734793;102366;46,260466;20,147239;50;213990szakk;213990;22;65;1
4;szakközépiskola;734795;103226;46,268202;20,147422;50;41766szakk;41766;22;65;1
4;szakközépiskola;735139;101187;46,249817;20,15151;50;41619szakk;41619;22;65;1
4;szakközépiskola;735178;101770;46,255057;20,152123;65;42267szakk;42267;22;65;1
4;szakközépiskola;735381;101970;46,25683;20,154792;50;67046szakk;67046;22;65;1
4;szakközépiskola;735407;101807;46,25536;20,155099;112;44261szakk;44261;22;65;1
