type;subtype;EOVX;EOVY;LAT;LON;capacity;poid;id;minage;maxage;risk
8;autósiskola;734469;101153;46,249596;20,142817;100;78486;734469101153;18;28;1
8;autósiskola;734927;101476;46,252444;20,148814;100;78488;734927101476;18;28;1
8;autósiskola;734872;102405;46,260807;20,148271;100;78502;734872102405;18;28;1
8;autósiskola;734525;102145;46,258512;20,143723;100;78564;734525102145;18;28;1
8;autósiskola;734324;101855;46,255929;20,141064;100;114482;734324101855;18;28;1
7;babafelszerelés;733610;102899;46,265409;20,131993;200;114535;733610102899;22;45;1
8;balett és tánciskola;734913;102968;46,265866;20,148905;200;34603;734913102968;6;26;1
1;bankautomata;735032;101588;46,253438;20,150196;200;99583;735032101588;22;99;1
1;bankautomata;734959;102174;46,258718;20,149357;200;99616;734959102174;22;99;1
1;bankautomata;734780;101477;46,252471;20,146908;200;54557;734780101477;22;99;1
1;bankautomata;734792;101538;46,253019;20,147075;200;54556;734792101538;22;99;1
1;bankautomata;735219;103752;46,272879;20,153018;200;86727;735219103752;22;99;1
1;bankautomata;732707;100465;46,243627;20,119849;200;86728;732707100465;22;99;1
1;bankautomata;734684;101405;46,251836;20,14565;200;54560;734684101405;22;99;1
1;bankautomata;735435;101929;46,256454;20,155484;200;54567;735435101929;22;99;1
1;bankautomata;734807;101873;46,25603;20,147331;200;54573;734807101873;22;99;1
1;bankautomata;734955;100754;46,245946;20,149045;200;54585;734955100754;22;99;1
1;bankautomata;736479;100838;46,246507;20,168819;200;54588;736479100838;22;99;1
1;bankautomata;734927;101476;46,252444;20,148814;200;55302;734927101476;22;99;1
1;bankautomata;734335;100912;46,247445;20,141036;200;86805;734335100912;22;99;1
1;bankautomata;734927;101476;46,252444;20,148814;200;99281;734927101476;22;99;1
1;bankautomata;732707;100465;46,243627;20,119849;200;99830;732707100465;22;99;1
1;bankautomata;735701;101179;46,249674;20,158796;200;164020;735701101179;22;99;1
1;bankautomata;734979;101377;46,251547;20,14947;200;54558;734979101377;22;99;1
1;bankautomata;734919;101754;46,254946;20,148761;200;54564;734919101754;22;99;1
1;bankautomata;735072;103758;46,272952;20,151112;200;54576;735072103758;22;99;1
1;bankautomata;734374;102037;46,25756;20,141746;200;55201;734374102037;22;99;1
1;bankautomata;734119;103231;46,268332;20,138655;200;55436;734119103231;22;99;1
1;bankautomata;734919;101754;46,254946;20,148761;200;180601;734919101754;22;99;1
1;bankautomata;736775;99668;46,235944;20,172439;200;207775;73677599668;22;99;1
1;bankautomata;734711;101359;46,25146073;20,14606099;200;54561;734711101359;22;99;1
1;bankautomata;734788;101020;46,24836;20,146929;200;54553;734788101020;22;99;1
1;bankautomata;735004;101788;46,255241;20,14987;200;54565;735004101788;22;99;1
1;bankautomata;733925;102531;46,26206;20,136012;200;54569;733925102531;22;99;1
1;bankautomata;736334;103209;46,267852;20,16738;200;54574;736334103209;22;99;1
1;bankautomata;735643;103074;46,266727;20,158393;200;54577;735643103074;22;99;1
1;bankautomata;731446;103956;46,275183;20,104112;200;54578;731446103956;22;99;1
1;bankautomata;733093;102254;46,259672;20,125173;200;54579;733093102254;22;99;1
