subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;st_type;st_capacity;st_minage;st_maxage
óvoda;736528;104584;46,280195;20,170152;109847;109847ovoda;1;2;4;14;22;65;3;105;3;6
óvoda;736765;102809;46,264199;20,172895;109859;109859ovoda;1;2;4;25;22;65;3;90;3;6
óvoda;736797;103201;46,267721;20,173383;109818;109818ovoda;1;2;4;14;22;65;3;98;3;6
óvoda;736961;100597;46,244277;20,175024;109828;109828ovoda;1;2;4;14;22;65;3;110;3;6
óvoda;737304;102683;46,262995;20,179862;109822;109822ovoda;1;2;4;10;22;65;3;68;3;6
óvoda;737421;102484;46,2612322;20,18141074;109336;109336ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;737824;102946;46,265293;20,186655;109332;109332ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;737879;98993;46,229729;20,186622;148239;148239ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;737945;100621;46,244364;20,187785;109827;109827ovoda;1;2;4;10;22;65;3;80;3;6
óvoda;738319;102438;46,260659;20,192979;109856;109856ovoda;1;2;4;27;22;65;3;232;3;6
óvoda;738321;97516;46,216386;20,192071;109812;109812ovoda;1;2;4;10;22;65;3;63;3;6
óvoda;738537;96157;46,204133;20,194611;109811;109811ovoda;1;2;4;10;22;65;3;66;3;6
óvoda;739025;102272;46,259072;20,202103;109857;109857ovoda;1;2;4;7;22;65;3;47;3;6
szakiskola;734159;101858;46,255977;20,138925;44355;44355szaki;1;2;4;30;22;65;3;933;14;18
szakiskola;736676;104729;46,281481;20,172099;109540;109540szaki;1;2;4;30;22;65;3;40;14;18
szakközépiskola;731064;101384;46,252095;20,098708;44285;44285szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;732608;102007;46,25751;20,118839;46540;46540szakk;1;2;4;49;22;65;3;187;14;19
szakközépiskola;733012;100254;46,241692;20,123765;43336;43336szakk;1;2;4;13;22;65;3;138;14;19
szakközépiskola;733012;100254;46,241692;20,123765;213995;213995szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;733254;101544;46,253265;20,127133;44672;44672szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;733290;101543;46,253252;20,1276;45845;45845szakk;1;2;4;142;22;65;3;760;14;19
szakközépiskola;733747;101587;46,253591;20,133534;45987;45987szakk;1;2;4;87;22;65;3;573;14;19
szakközépiskola;734018;101993;46,257209;20,137121;213982;213982szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734108;101251;46,250523;20,138154;213986;213986szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734159;101858;46,255977;20,138925;44355;44355szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734233;103218;46,268201;20,140131;109362;109362szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734372;101338;46,251273;20,141593;44363;44363szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734494;101573;46,253371;20,143217;41857;41857szakk;1;2;4;76;22;65;3;482;14;19
szakközépiskola;734519;100339;46,242268;20,143317;213961;213961szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734589;101197;46,249977;20,144381;34777;34777szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734710;102002;46,257203;20,146096;46122;46122szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734722;100938;46,247631;20,146058;213998;213998szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734793;102366;46,260466;20,147239;213990;213990szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;734795;103226;46,268202;20,147422;41766;41766szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735139;101187;46,249817;20,15151;41619;41619szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735178;101770;46,255057;20,152123;42267;42267szakk;1;2;4;65;22;65;3;338;14;19
szakközépiskola;735381;101970;46,25683;20,154792;67046;67046szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735407;101807;46,25536;20,155099;44261;44261szakk;1;2;4;112;22;65;3;630;14;19
szakközépiskola;735418;102243;46,259281;20,155322;213989;213989szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735533;102253;46,259356;20,156815;110188;110188szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735535;103433;46,26997;20,157058;45729;45729szakk;1;2;4;68;22;65;3;488;14;19
szakközépiskola;735542;102295;46,259733;20,156939;45627;45627szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735548;103490;46,270481;20,157237;45637;45637szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735717;102157;46,258469;20,159183;110162;110162szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;735935;102127;46,258171;20,162005;109537;109537szakk;1;2;4;7;22;65;3;23;14;19
szakközépiskola;736320;101170;46,249514;20,16682;46718;46718szakk;1;2;4;61;22;65;3;425;14;19
szakközépiskola;736448;101005;46,248013;20,168449;109541;109541szakk;1;2;4;20;22;65;3;173;14;19
szakközépiskola;736750;103664;46,271891;20,17286;110189;110189szakk;1;2;4;50;22;65;3;200;14;19
szakközépiskola;737678;102225;46,258827;20,184626;109458;109458szakk;1;2;4;50;22;65;3;200;14;19
egyetem;734756;101207;46,250046;20,146548;56400;56400egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734955;100754;46,245946;20,149045;60709;60709egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734335;100912;46,247445;20,141036;60710;60710egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;736303;101258;46,250307;20,166616;60711;60711egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734515;101340;46,251273;20,143447;60712;60712egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734802;101080;46,248898;20,147121;60713;60713egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734743;100779;46,246198;20,146301;60714;60714egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734204;102137;46,258481;20,139559;60716;60716egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734850;100904;46,247309;20,147711;60717;60717egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734589;101197;46,249977;20,144381;60718;60718egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734654;101427;46,252038;20,145265;60812;60812egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734435;100831;46,246704;20,142318;164226;164226egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734644;101157;46,24961;20,145087;176488;176488egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734849;101024;46,248388;20,14772;184476;184476egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734849;101024;46,248388;20,14772;184477;184477egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734289;100974;46,248009;20,140451;184492;184492egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734124;101332;46,25125;20,138376;184493;184493egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734113;101275;46,250739;20,138223;184494;184494egyet;1;0;4;513;22;65;44;1200;18;28
egyetem;734756;101207;46,250046;20,146548;184495;184495egyet;1;0;4;513;22;65;44;1200;18;28
